iter	RMSE
183	8.201479723
184	8.184125593
185	8.161244824
186	8.130891549
187	8.110610929
188	8.093380065
189	8.080303052
190	8.076219556
191	8.036674929
192	8.024403322
193	8.012830987
194	7.997434202
195	7.976084482
196	7.956993694
197	7.945927322
198	7.93514885
199	7.91263416
200	7.886391786
201	7.875726368
202	7.85770155
203	7.841011394
204	7.81586906
205	7.807405559
206	7.795777367
207	7.783046239
208	7.768194146
209	7.756760657
210	7.75046815
211	7.734005352
212	7.7206255
213	7.713504365
214	7.681137222
215	7.661784742
216	7.647658211
217	7.630218606
218	7.623320841
219	7.618124404
220	7.599616193
221	7.590115976
222	7.579551253
223	7.565233238
224	7.543219044
225	7.527340995
226	7.513432352
227	7.499285642
228	7.478368752
229	7.461433324
230	7.445832446
231	7.44408208
232	7.427920764
233	7.401701033
234	7.38667556
235	7.376192788
236	7.355996662
237	7.332555411
238	7.320717949
239	7.309253281
240	7.293759849
241	7.278573301
242	7.268710007
243	7.262881617
244	7.241565586
245	7.228561206
246	7.213429382
247	7.194673397
248	7.177837486
249	7.161560967
250	7.136610328
251	7.123348952
252	7.111056973
253	7.098398582
254	7.096884295
255	7.092664369
256	7.06986717
257	7.04862157
258	7.030560403
259	7.011028363
260	7.002355829
261	6.990798275
262	6.969063143
263	6.954905673
264	6.940934089
265	6.92135202
266	6.893846616
267	6.878642044
268	6.859886539
269	6.844355767
270	6.830576653
271	6.823543948
272	6.799608824
273	6.772560361
274	6.757589021
275	6.747004771
276	6.736610315
277	6.732013763
278	6.727107026
279	6.714059607
280	6.693289689
281	6.677892963
282	6.665304312
283	6.653748029
284	6.634264463
285	6.631418169
286	6.617444824
287	6.605880711
288	6.600830939
289	6.586687277
290	6.567851893
291	6.55413037
292	6.536400686
293	6.518816388
294	6.509149353
295	6.496648396
296	6.478090946
297	6.465064255
298	6.45446524
299	6.445414242
300	6.429902022
301	6.419486609
302	6.412053874
303	6.404431944
304	6.393911927
305	6.382552997
306	6.373414134
307	6.355880373
308	6.337106586
309	6.325698528
310	6.310240755
311	6.292339568
312	6.278167741
313	6.260485289
314	6.248306754
315	6.239008019
316	6.223117239
317	6.207744375
318	6.201843845
319	6.191056155
320	6.171879203
321	6.166432216
322	6.147186769
323	6.139516361
324	6.115273535
325	6.103804005
326	6.089759588
327	6.077662707
328	6.070215638
329	6.058917468
330	6.048202598
331	6.037124067
332	6.01593527
333	6.004943851
334	5.99839409
335	5.982911326
336	5.959912319
337	5.945077459
338	5.933702599
339	5.92303502
340	5.917116097
341	5.909821117
342	5.899845178
343	5.890767655
344	5.869843002
345	5.857848673
346	5.852069902
347	5.832685754
348	5.814542763
349	5.799541655
350	5.791635313
351	5.770349417
352	5.74798461
353	5.733017465
354	5.723008449
355	5.719101721
356	5.714733459
357	5.699760786
358	5.688192578
359	5.683273382
360	5.681587479
361	5.659113257
362	5.649840818
363	5.637699909
364	5.622216062
365	5.613031367
366	5.600913099
367	5.585669867
368	5.579412367
369	5.569574324
370	5.560559122
371	5.545569005
372	5.526262228
373	5.522419467
374	5.504540529
375	5.491640613
376	5.468890122
377	5.446951873
378	5.436696399
379	5.434084677
380	5.431600216
381	5.416535905
382	5.413488992
383	5.392451668
384	5.371408632
385	5.360801176
386	5.353275784
387	5.345046148
388	5.325149064
389	5.314111659
390	5.303164819
391	5.295927668
392	5.286367269
393	5.274310129
394	5.260368003
395	5.238529694
396	5.23298368
397	5.221721864
398	5.204427567
399	5.189005596
400	5.177330288
401	5.17031909
402	5.163101036
403	5.149708997
404	5.137752705
405	5.123485561
406	5.115364863
407	5.108177735
408	5.099429262
409	5.088959666
410	5.080288971
411	5.07420872
412	5.070528056
413	5.063123214
414	5.047581511
415	5.038617891
416	5.030737812
417	5.016782853
418	4.993274166
419	4.982259852
420	4.966104006
421	4.962599636
422	4.950066214
423	4.937367103
424	4.924256661
425	4.919493156
426	4.918813852
427	4.909593754
428	4.897438431
429	4.879401509
430	4.867114244
431	4.857773013
432	4.844787576
433	4.836811052
434	4.815966297
435	4.814961274
436	4.793185644
437	4.791500378
438	4.785923592
439	4.772172592
440	4.770689202
441	4.756876609
442	4.751037045
443	4.741993801
444	4.725156258
445	4.720863543
446	4.710868395
447	4.697771454
448	4.680580548
449	4.667099909
450	4.652519295
451	4.651580239
452	4.638541773
453	4.624058335
454	4.605162092
455	4.597433562
456	4.583346753
457	4.570215771
458	4.562030813
459	4.553828886
460	4.536950587
461	4.521481735
462	4.513461302
463	4.501108492
464	4.491551351
465	4.479563753
466	4.475410147
467	4.461153931
468	4.457736375
469	4.450091848
470	4.436663988
471	4.427567401
472	4.422597679
473	4.411915624
474	4.409742988
475	4.402710412
476	4.400505729
477	4.387823513
478	4.379325538
479	4.365034891
480	4.353345715
481	4.335489037
482	4.326783051
483	4.316877762
484	4.314586241
485	4.306621184
486	4.291039285
487	4.289179923
488	4.284852879
489	4.283315106
490	4.264879473
491	4.25023492
492	4.241456433
493	4.234951535
494	4.227553658
495	4.215929527
496	4.207549185
497	4.194689163
498	4.193918987
499	4.189256207
500	4.184733725
501	4.182350108
502	4.180380126
503	4.171226618
504	4.163865117
505	4.158543385
506	4.147686612
507	4.138281547
508	4.125657707
509	4.114460025
510	4.106337538
511	4.091795243
512	4.079933713
513	4.069076256
514	4.059323178
515	4.05255955
516	4.042448611
517	4.03107925
518	4.019812766
519	4.007762404
520	4.002014861
521	4.000873328
522	3.985632618
523	3.977878271
524	3.965134485
525	3.964311799
526	3.962844703
527	3.956691288
528	3.946643881
529	3.938850009
530	3.928937729
531	3.926705454
532	3.923325187
533	3.917516463
534	3.906976963
535	3.89785477
536	3.890249456
537	3.87787078
538	3.871065075
539	3.862626438
540	3.854915427
541	3.849516151
542	3.842908478
543	3.835503132
544	3.830626728
545	3.819191833
546	3.81291923
547	3.805399722
548	3.796288025
549	3.785356492
550	3.772778832
551	3.765619024
552	3.748800815
553	3.737775026
554	3.736065449
555	3.728665243
556	3.721048283
557	3.710585867
558	3.703564264
559	3.693291641
560	3.68777436
561	3.681955304
562	3.675461633
563	3.669488007
564	3.667638071
565	3.663039974
566	3.658896047
567	3.649768064
568	3.64621414
569	3.64060213
570	3.637366663
571	3.63548229
572	3.628379975
573	3.618235459
574	3.611680299
575	3.605303938
576	3.599034781
577	3.595216822
578	3.592547748
579	3.586400095
580	3.578730344
581	3.577896497
582	3.571562779
583	3.566609424
584	3.563615357
585	3.557594864
586	3.544282118
587	3.535171835
588	3.521937267
589	3.518294122
590	3.512930364
591	3.502971005
592	3.501330909
593	3.498960686
594	3.485674751
595	3.483346897
596	3.477268945
597	3.468426224
598	3.460894138
599	3.451377799
600	3.448340709
601	3.442658216
602	3.437844396
603	3.425336209
604	3.418861347
605	3.413733517
606	3.402812376
607	3.398115834
608	3.392177965
609	3.387726245
610	3.380390378
611	3.3755077
612	3.370654546
613	3.36352774
614	3.357499146
615	3.352407133
616	3.349951408
617	3.336876543
618	3.333777909
619	3.330364728
620	3.326143597
621	3.319276543
622	3.309262181
623	3.306547686
624	3.300477596
625	3.295144821
626	3.289965876
627	3.278087605
628	3.274089548
629	3.263718467
630	3.257716995
631	3.250679351
632	3.248163258
633	3.246022858
634	3.2456111
635	3.241039891
636	3.235968653
637	3.230925844
638	3.224170086
639	3.218521608
640	3.211653405
641	3.204345426
642	3.198678297
643	3.190957313
644	3.186817704
645	3.183297382
646	3.179406457
647	3.170354942
648	3.161264484
649	3.151376191
650	3.146735835
651	3.144135994
652	3.139772303
653	3.13610943
654	3.130770346
655	3.125998717
656	3.121128258
657	3.110857294
658	3.1057531
659	3.104539668
660	3.095403649
661	3.086971766
662	3.0779882
663	3.07585671
664	3.071957495
665	3.062021762
666	3.057719005
667	3.055535347
668	3.045506078
669	3.039467696
670	3.034602124
671	3.028298862
672	3.022310059
673	3.020265705
674	3.01541348
675	3.014970771
676	3.009542282
677	3.005303435
678	2.999977797
679	2.995905335
680	2.991836992
681	2.990828775
682	2.986618552
683	2.983215186
684	2.979757552
685	2.96936288
686	2.96394418
687	2.961670545
688	2.955298384
689	2.953377355
690	2.948880334
691	2.943118604
692	2.941571929
693	2.939757735
694	2.937755944
695	2.933643807
696	2.931675299
697	2.923374629
698	2.920149471
699	2.91592086
700	2.912123125
701	2.906299564
702	2.902206197
703	2.901861817
704	2.899254948
705	2.896801081
706	2.893865106
707	2.888225202
708	2.883599522
709	2.874199296
710	2.865892569
711	2.861404135
712	2.857735499
713	2.856295067
714	2.855949075
715	2.85258351
716	2.847708753
717	2.837321738
718	2.834802417
719	2.832655807
720	2.830998227
721	2.821325512
722	2.818278661
723	2.814427069
724	2.810515152
725	2.809072431
726	2.80481475
727	2.795717323
728	2.791268408
729	2.787645491
730	2.78460317
731	2.783151558
732	2.779470585
733	2.777039231
734	2.774664803
735	2.764997021
736	2.761762999
737	2.758298541
738	2.753071298
739	2.74591853
740	2.744988523
741	2.743376704
742	2.737386662
743	2.733990189
744	2.728674716
745	2.726715595
746	2.721575865
747	2.720666419
748	2.715547948
749	2.71094348
750	2.702305635
751	2.695024142
752	2.691250737
753	2.687658262
754	2.685831073
755	2.680312855
756	2.679057426
757	2.670136061
758	2.667840703
759	2.659477706
760	2.655995529
761	2.655122616
762	2.654162144
763	2.650394991
764	2.647940569
765	2.646177631
766	2.645920234
767	2.640250154
768	2.635552456
769	2.631177598
770	2.62500953
771	2.621358869
772	2.612601725
773	2.612129674
774	2.609590652
775	2.607954067
776	2.604761994
777	2.598207457
778	2.596572346
779	2.590517027
780	2.588229363
781	2.586972141
782	2.585418703
783	2.582012005
784	2.578428873
785	2.572433323
786	2.567211822
787	2.557778517
788	2.554967798
789	2.553614125
790	2.548069638
791	2.546041979
792	2.545412299
793	2.545055267
794	2.540876895
795	2.53983313
796	2.534196265
797	2.533173437
798	2.532117771
799	2.527750893
800	2.52741836
801	2.522539465
802	2.515012346
803	2.508700111
804	2.505645886
805	2.503847963
806	2.498444001
807	2.49591274
808	2.493013223
809	2.48876353
810	2.485020335
811	2.484695077
812	2.482187719
813	2.477193241
814	2.47039708
815	2.463698591
816	2.462669272
817	2.462068679
818	2.458471242
819	2.458162823
820	2.446709013
821	2.444420204
822	2.440356795
823	2.437540518
824	2.435720544
825	2.426802663
826	2.426107713
827	2.421477512
828	2.419006274
829	2.411055254
830	2.406543918
831	2.403598926
832	2.398633986
833	2.394967212
834	2.392104572
835	2.386511281
836	2.38593389
837	2.380190238
838	2.378306677
839	2.373663861
840	2.370745819
841	2.368353606
842	2.360148477
843	2.355922829
844	2.352648795
845	2.352084439
846	2.349520034
847	2.34548742
848	2.343190683
849	2.341251625
850	2.338437017
851	2.332098449
852	2.32873007
853	2.323014646
854	2.319766719
855	2.314597751
856	2.31336895
857	2.310873551
858	2.30763174
859	2.303968538
860	2.301545763
861	2.296475247
862	2.292251025
863	2.285789221
864	2.283387373
865	2.279309971
866	2.276978609
867	2.276415267
868	2.270356356
869	2.267658126
870	2.260688185
871	2.260374962
872	2.257994518
873	2.256457583
874	2.249964766
875	2.246017333
876	2.241032871
877	2.23651645
878	2.235587412
879	2.23258834
880	2.231827984
881	2.224818776
882	2.224021186
883	2.223183169
884	2.219232635
885	2.217303538
886	2.216883249
887	2.212855833
888	2.20873909
889	2.205909105
890	2.203494682
891	2.199436485
892	2.193236934
893	2.192963242
894	2.192126019
895	2.190258998
896	2.185759057
897	2.184661029
898	2.180224954
899	2.179406555
900	2.178864336
901	2.178382183
902	2.170329743
903	2.167913318
904	2.167231278
905	2.162370324
906	2.159549222
907	2.153099287
908	2.148755546
909	2.142527885
910	2.138737175
911	2.136180494
912	2.134708846
913	2.125913373
914	2.124556089
915	2.123323412
916	2.122772208
917	2.121482102
918	2.120598036
919	2.119730567
920	2.114811339
921	2.114319373
922	2.111914784
923	2.111474854
924	2.109671297
925	2.105671801
926	2.101945467
927	2.096268956
928	2.095867314
929	2.092770001
930	2.090501269
931	2.084600056
932	2.084221163
933	2.07711031
934	2.074860874
935	2.073355048
936	2.07137207
937	2.068788244
938	2.06512377
939	2.061212424
940	2.060159029
941	2.056527786
942	2.05611357
943	2.053725002
944	2.049684152
945	2.049245799
946	2.048252411
947	2.043686782
948	2.039957971
949	2.038124906
950	2.037349091
951	2.035125129
952	2.03105374
953	2.030227647
954	2.026240873
955	2.020673377
956	2.018512499
957	2.015964221
958	2.013688183
959	2.011738327
960	2.009829526
961	2.009407106
962	2.004628225
963	2.004280106
964	2.003827577
965	2.002205537
966	2.000817624
967	1.992723435
968	1.989922238
969	1.986063727
970	1.98234501
971	1.978271053
972	1.977016502
973	1.976396537
974	1.975992554
975	1.969602295
976	1.969272154
977	1.96901139
978	1.965798877
979	1.965455497
980	1.959659692
981	1.957652272
982	1.954582748
983	1.9540771
984	1.951037454
985	1.94874803
986	1.941892594
987	1.938596442
988	1.936691203
989	1.936281304
990	1.930413738
991	1.929263272
992	1.927897612
993	1.924485717
994	1.921628293
995	1.921082803
996	1.920723666
997	1.920368021
998	1.917528203
999	1.915910096
